periodo,instituicao,tipo_de_especialidade,doentes_saidos,dias_de_internamento,length_patiant,new_var,year,month,week,weekday,doentes_saidos_lag,dias_de_internamento_lag,doentes_saidos_var,dias_de_internamento_var,instituicao1,length_stay_var,tipo_instituicao
2015-04-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,1436,9229,6.42688022284123,2,2015,Apr,13,Wed,1082,6925,354,2304,"Instituto Português Oncologia de Coimbra, EPE",6.50847457627119,Cancer hospital
2015-04-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,2315,13369,5.77494600431966,2,2015,Apr,13,Wed,1700,10054,615,3315,"Centro Hospitalar do Médio Ave, EPE",5.39024390243903,Hospital
2015-04-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,568,3334,5.86971830985916,2,2015,Apr,13,Wed,411,2524,157,810,"Hospital Santa Maria Maior, EPE",5.15923566878981,Hospital
2015-04-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,1764,11033,6.25453514739229,2,2015,Apr,13,Wed,1433,8863,331,2170,"Unidade Local de Saúde do Nordeste, EPE",6.5558912386707,Hospital
2015-05-01,"Unidade Local de Saúde do Litoral Alentejano, EPE",Especialidade Cirurgica,929,5235,5.63509149623251,2,2015,May,18,Fri,754,4343,175,892,"Unidade Local de Saúde do Litoral Alentejano, EPE",5.09714285714286,Hospital
2015-05-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,2340,14206,6.07094017094017,2,2015,May,18,Fri,1912,11500,428,2706,"Centro Hospitalar Barreiro/Montijo, EPE",6.32242990654206,Hospital
2015-05-01,"Centro Hospitalar Médio Tejo, EPE",Especialidade Cirurgica,2866,17877,6.23761339846476,2,2015,May,18,Fri,2269,14285,597,3592,"Centro Hospitalar Médio Tejo, EPE",6.01675041876047,Hospital
2015-05-01,"Hospital de Loures, PPP",Especialidade Cirurgica,3513,20365,5.79703956732138,2,2015,May,18,Fri,2778,15927,735,4438,"Hospital de Loures, PPP",6.03809523809524,Hospital
2015-05-01,"Instituto Português Oncologia de Lisboa, EPE",Especialidade Cirurgica,2189,13597,6.21151210598447,2,2015,May,18,Fri,1770,10910,419,2687,"Instituto Português Oncologia de Lisboa, EPE",6.41288782816229,Cancer hospital
2015-05-01,"Centro Hospitalar Universitário de São João, EPE",Especialidade Cirurgica,10700,67297,6.28943925233645,2,2015,May,18,Fri,8581,53317,2119,13980,"Centro Hospitalar Universitário de São João, EPE",6.59745162812648,University
2015-05-01,"Centro Hospitalar Entre Douro e Vouga, EPE",Especialidade Cirurgica,4817,20483,4.25223167946855,2,2015,May,18,Fri,3686,16006,1131,4477,"Centro Hospitalar Entre Douro e Vouga, EPE",3.95844385499558,Hospital
2015-05-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,4917,23666,4.81309741712426,2,2015,May,18,Fri,3895,19074,1022,4592,"Centro Hospitalar Tâmega e Sousa, EPE",4.49315068493151,Hospital
2015-05-01,"Hospital de Braga, PPP",Especialidade Cirurgica,6632,39967,6.02638721351025,2,2015,May,18,Fri,5295,31572,1337,8395,"Hospital de Braga, EPE",6.27898279730741,Hospital
2015-06-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,5298,37755,7.12627406568516,2,2015,Jun,22,Mon,4340,31013,958,6742,"Centro Hospitalar Tondela-Viseu, EPE",7.03757828810021,Hospital
2015-06-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,2116,13582,6.4187145557656,2,2015,Jun,22,Mon,1800,11574,316,2008,"Instituto Português Oncologia de Coimbra, EPE",6.35443037974684,Cancer hospital
2015-06-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,1996,14736,7.38276553106212,2,2015,Jun,22,Mon,1647,12398,349,2338,"Unidade Local de Saúde da Guarda, EPE",6.69914040114613,Hospital
2015-06-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,2761,16748,6.06591814559942,2,2015,Jun,22,Mon,2340,14206,421,2542,"Centro Hospitalar Barreiro/Montijo, EPE",6.03800475059382,Hospital
2015-06-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,6425,50804,7.9072373540856,2,2015,Jun,22,Mon,5353,42616,1072,8188,"Centro Hospitalar de Lisboa Ocidental, EPE",7.63805970149254,Hospital
2015-06-01,"Hospital de Vila Franca de Xira, PPP",Especialidade Cirurgica,3173,16181,5.09959029309801,2,2015,Jun,22,Mon,2612,13373,561,2808,"Hospital de Vila Franca de Xira, EPE",5.00534759358289,Hospital
2015-06-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,5440,31228,5.74044117647059,2,2015,Jun,22,Mon,4541,26738,899,4490,"Hospital Garcia de Orta, EPE",4.9944382647386,Hospital
2015-06-01,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Especialidade Cirurgica,4509,27773,6.15945886005766,2,2015,Jun,22,Mon,3803,23118,706,4655,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",6.59348441926346,Hospital
2015-06-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,880,5451,6.19431818181818,2,2015,Jun,22,Mon,712,4380,168,1071,"Hospital Santa Maria Maior, EPE",6.375,Hospital
2015-06-01,"Unidade Local de Saúde do Alto Minho, EPE",Especialidade Cirurgica,4652,27444,5.8993981083405,2,2015,Jun,22,Mon,3875,22901,777,4543,"Unidade Local de Saúde do Alto Minho, EPE",5.84684684684685,Hospital
2015-07-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,4918,28212,5.73647824318829,2,2015,Jul,26,Wed,4217,24416,701,3796,"Centro Hospitalar do Baixo Vouga, EPE",5.4151212553495,Hospital
2015-07-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,6347,44731,7.04758153458327,2,2015,Jul,26,Wed,5298,37755,1049,6976,"Centro Hospitalar Tondela-Viseu, EPE",6.65014299332698,Hospital
2015-07-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,294,1304,4.43537414965986,2,2015,Jul,26,Wed,235,1067,59,237,Hospital Dr. Francisco Zagalo,4.01694915254237,Hospital
2015-07-01,"Centro Hospitalar Universitário Lisboa Central, EPE",Especialidade Cirurgica,15464,111770,7.22775478530781,2,2015,Jul,26,Wed,13254,95934,2210,15836,"Centro Hospitalar Universitário Lisboa Central, EPE",7.16561085972851,University
2015-07-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,6912,32694,4.73003472222222,2,2015,Jul,26,Wed,5867,27859,1045,4835,"Centro Hospitalar Tâmega e Sousa, EPE",4.62679425837321,Hospital
2015-07-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,3799,29547,7.7775730455383,2,2015,Jul,26,Wed,3213,24947,586,4600,"Instituto Português Oncologia do Porto, EPE",7.84982935153584,Cancer hospital
2015-07-01,"Unidade Local de Saúde de Matosinhos, EPE",Especialidade Cirurgica,5254,29723,5.65721355157975,2,2015,Jul,26,Wed,4427,25550,827,4173,"Unidade Local de Saúde de Matosinhos, EPE",5.0459492140266,Hospital
2015-07-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,3230,19351,5.99102167182663,2,2015,Jul,26,Wed,2722,16547,508,2804,"Unidade Local de Saúde do Nordeste, EPE",5.51968503937008,Hospital
2015-08-01,"Unidade Local de Saúde do Litoral Alentejano, EPE",Especialidade Cirurgica,1452,8129,5.59848484848485,2,2015,Aug,31,Sat,1289,7158,163,971,"Unidade Local de Saúde do Litoral Alentejano, EPE",5.95705521472393,Hospital
2015-08-01,"Unidade Local de Saúde do Norte Alentejano, EPE",Especialidade Cirurgica,2522,17991,7.13362410785091,2,2015,Aug,31,Sat,2198,15747,324,2244,"Unidade Local de Saúde do Norte Alentejano, EPE",6.92592592592593,Hospital
2015-08-01,"Centro Hospitalar Universitário do Algarve,EPE",Especialidade Cirurgica,9561,69143,7.23177491894153,2,2015,Aug,31,Sat,8407,60421,1154,8722,"Centro Hospitalar Universitário do Algarve,EPE",7.5580589254766,University
2015-08-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,5495,31946,5.81364877161056,2,2015,Aug,31,Sat,4918,28212,577,3734,"Centro Hospitalar do Baixo Vouga, EPE",6.47140381282496,Hospital
2015-08-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,300,1325,4.41666666666667,2,2015,Aug,31,Sat,294,1304,6,21,Hospital Dr. Francisco Zagalo,3.5,Hospital
2015-08-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,2699,18003,6.67024824008892,2,2015,Aug,31,Sat,2452,15995,247,2008,"Instituto Português Oncologia de Coimbra, EPE",8.12955465587045,Cancer hospital
2015-08-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,3564,21551,6.04685746352413,2,2015,Aug,31,Sat,3177,19308,387,2243,"Centro Hospitalar Barreiro/Montijo, EPE",5.79586563307494,Hospital
2015-08-01,"Hospital Distrital de Santarém, EPE",Especialidade Cirurgica,4177,31479,7.53627005027532,2,2015,Aug,31,Sat,3618,27222,559,4257,"Hospital Distrital de Santarém, EPE",7.61538461538462,Hospital
2015-08-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,7182,42370,5.8994708994709,2,2015,Aug,31,Sat,6334,36406,848,5964,"Hospital Garcia de Orta, EPE",7.03301886792453,Hospital
2015-08-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,7851,37259,4.74576487071711,2,2015,Aug,31,Sat,6912,32694,939,4565,"Centro Hospitalar Tâmega e Sousa, EPE",4.86155484558041,Hospital
2015-08-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,4201,33151,7.89121637705308,2,2015,Aug,31,Sat,3799,29547,402,3604,"Instituto Português Oncologia do Porto, EPE",8.96517412935323,Cancer hospital
2015-08-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,3632,21885,6.02560572687225,2,2015,Aug,31,Sat,3230,19351,402,2534,"Unidade Local de Saúde do Nordeste, EPE",6.30348258706468,Hospital
2015-09-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,8136,57721,7.09451819075713,2,2015,Sep,35,Tue,7198,51173,938,6548,"Centro Hospitalar Tondela-Viseu, EPE",6.98081023454158,Hospital
2015-09-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,2975,20901,7.0255462184874,2,2015,Sep,35,Tue,2662,18862,313,2039,"Unidade Local de Saúde da Guarda, EPE",6.51437699680511,Hospital
2015-09-01,"Unidade Local de Saúde de Castelo Branco, EPE",Especialidade Cirurgica,2906,19611,6.74845147969718,2,2015,Sep,35,Tue,2560,17229,346,2382,"Unidade Local de Saúde de Castelo Branco, EPE",6.88439306358382,Hospital
2015-09-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,9595,74760,7.79155810317874,2,2015,Sep,35,Tue,8527,66693,1068,8067,"Centro Hospitalar de Lisboa Ocidental, EPE",7.55337078651685,Hospital
2015-09-01,"Hospital de Cascais, PPP",Especialidade Cirurgica,5140,26473,5.15038910505837,2,2015,Sep,35,Tue,4552,23469,588,3004,"Hospital de Cascais, PPP",5.10884353741497,Hospital
2015-09-01,"Hospital de Vila Franca de Xira, PPP",Especialidade Cirurgica,4872,24011,4.92836617405583,2,2015,Sep,35,Tue,4298,21327,574,2684,"Hospital de Vila Franca de Xira, EPE",4.67595818815331,Hospital
2015-09-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,5109,28476,5.57369348209043,2,2015,Sep,35,Tue,4532,25530,577,2946,"Centro Hospitalar do Médio Ave, EPE",5.10571923743501,Hospital
2015-09-01,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Especialidade Cirurgica,6858,41526,6.05511811023622,2,2015,Sep,35,Tue,6080,36795,778,4731,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",6.08097686375321,Hospital
2015-09-01,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",Especialidade Cirurgica,9797,59719,6.09564152291518,2,2015,Sep,35,Tue,8588,53179,1209,6540,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",5.40942928039702,Hospital
2015-09-01,"Hospital de Braga, PPP",Especialidade Cirurgica,12067,73032,6.05220850252755,2,2015,Sep,35,Tue,10695,64658,1372,8374,"Hospital de Braga, EPE",6.10349854227405,Hospital
2015-10-01,"Unidade Local de Saúde do Baixo Alentejo, EPE",Especialidade Cirurgica,3591,21319,5.93678641047062,2,2015,Oct,40,Thu,3199,19091,392,2228,"Unidade Local de Saúde do Baixo Alentejo, EPE",5.68367346938776,Hospital
2015-10-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,6933,40168,5.79374008365787,2,2015,Oct,40,Thu,6170,35905,763,4263,"Centro Hospitalar do Baixo Vouga, EPE",5.58715596330275,Hospital
2015-10-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,9151,64886,7.09059119221943,2,2015,Oct,40,Thu,8136,57721,1015,7165,"Centro Hospitalar Tondela-Viseu, EPE",7.05911330049261,Hospital
2015-10-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,3399,22568,6.63959988231833,2,2015,Oct,40,Thu,3024,20150,375,2418,"Instituto Português Oncologia de Coimbra, EPE",6.448,Cancer hospital
2015-10-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,4474,26826,5.99597675458203,2,2015,Oct,40,Thu,4008,24042,466,2784,"Centro Hospitalar Barreiro/Montijo, EPE",5.97424892703863,Hospital
2015-10-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,10754,83465,7.76129812162916,2,2015,Oct,40,Thu,9595,74760,1159,8705,"Centro Hospitalar de Lisboa Ocidental, EPE",7.51078515962036,Hospital
2015-10-01,"Centro Hospitalar do Oeste, EPE",Especialidade Cirurgica,5466,35304,6.45883644346872,2,2015,Oct,40,Thu,4875,31296,591,4008,"Centro Hospitalar do Oeste, EPE",6.78172588832487,Hospital
2015-10-01,"Centro Hospitalar Universitário de Lisboa Norte, EPE",Especialidade Cirurgica,14596,84270,5.77349958892847,2,2015,Oct,40,Thu,13028,75025,1568,9245,"Centro Hospitalar Universitário de Lisboa Norte, EPE",5.89604591836735,University
2015-10-01,"Centro Hospitalar Médio Tejo, EPE",Especialidade Cirurgica,5853,37290,6.37109174782163,2,2015,Oct,40,Thu,5168,32960,685,4330,"Centro Hospitalar Médio Tejo, EPE",6.32116788321168,Hospital
2015-10-01,"Hospital de Loures, PPP",Especialidade Cirurgica,7247,40665,5.61128742928108,2,2015,Oct,40,Thu,6452,36496,795,4169,"Hospital de Loures, PPP",5.24402515723271,Hospital
2015-10-01,"Hospital Distrital de Santarém, EPE",Especialidade Cirurgica,5264,39878,7.57560790273556,2,2015,Oct,40,Thu,4682,35491,582,4387,"Hospital Distrital de Santarém, EPE",7.53780068728522,Hospital
2015-10-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,9197,53618,5.82994454713494,2,2015,Oct,40,Thu,8161,46916,1036,6702,"Hospital Garcia de Orta, EPE",6.46911196911197,Hospital
2015-10-01,"Instituto Português Oncologia de Lisboa, EPE",Especialidade Cirurgica,4504,27244,6.04884547069272,2,2015,Oct,40,Thu,4012,24541,492,2703,"Instituto Português Oncologia de Lisboa, EPE",5.49390243902439,Cancer hospital
2015-10-01,"Unidade Local de Saúde de Matosinhos, EPE",Especialidade Cirurgica,7475,42204,5.64602006688963,2,2015,Oct,40,Thu,6635,37746,840,4458,"Unidade Local de Saúde de Matosinhos, EPE",5.30714285714286,Hospital
2015-11-01,"Unidade Local de Saúde do Norte Alentejano, EPE",Especialidade Cirurgica,3543,25086,7.08044030482642,2,2015,Nov,44,Sun,3204,22761,339,2325,"Unidade Local de Saúde do Norte Alentejano, EPE",6.85840707964602,Hospital
2015-11-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,3736,24891,6.66247323340471,2,2015,Nov,44,Sun,3399,22568,337,2323,"Instituto Português Oncologia de Coimbra, EPE",6.89317507418398,Cancer hospital
2015-11-01,"Unidade Local de Saúde de Castelo Branco, EPE",Especialidade Cirurgica,3582,23947,6.68537130094919,2,2015,Nov,44,Sun,3241,21703,341,2244,"Unidade Local de Saúde de Castelo Branco, EPE",6.58064516129032,Hospital
2015-11-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,11862,91846,7.74287641207216,2,2015,Nov,44,Sun,10754,83465,1108,8381,"Centro Hospitalar de Lisboa Ocidental, EPE",7.56407942238267,Hospital
2015-11-01,"Centro Hospitalar de Setúbal, EPE",Especialidade Cirurgica,6113,38166,6.24341567151971,2,2015,Nov,44,Sun,5502,34562,611,3604,"Centro Hospitalar de Setúbal, EPE",5.89852700490998,Hospital
2015-11-01,"Hospital de Vila Franca de Xira, PPP",Especialidade Cirurgica,5991,29664,4.95142714071107,2,2015,Nov,44,Sun,5470,26909,521,2755,"Hospital de Vila Franca de Xira, EPE",5.28790786948177,Hospital
2015-11-01,"Hospital Professor Doutor Fernando Fonseca, EPE",Especialidade Cirurgica,11905,77388,6.50046199076019,2,2015,Nov,44,Sun,10762,70162,1143,7226,"Hospital Professor Doutor Fernando Fonseca, EPE",6.32195975503062,Hospital
2015-11-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,10200,59175,5.80147058823529,2,2015,Nov,44,Sun,9197,53618,1003,5557,"Hospital Garcia de Orta, EPE",5.54037886340977,Hospital
2015-11-01,"Hospital de Braga, PPP",Especialidade Cirurgica,14865,89944,6.05072317524386,2,2015,Nov,44,Sun,13490,81712,1375,8232,"Hospital de Braga, EPE",5.98690909090909,Hospital
2015-12-01,"Unidade Local de Saúde do Litoral Alentejano, EPE",Especialidade Cirurgica,2220,12134,5.46576576576577,2,2015,Dec,48,Tue,2029,11134,191,1000,"Unidade Local de Saúde do Litoral Alentejano, EPE",5.23560209424084,Hospital
2015-12-01,"Unidade Local de Saúde do Norte Alentejano, EPE",Especialidade Cirurgica,3834,27271,7.11293688054251,2,2015,Dec,48,Tue,3543,25086,291,2185,"Unidade Local de Saúde do Norte Alentejano, EPE",7.5085910652921,Hospital
2015-12-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,12912,100041,7.74790892193309,2,2015,Dec,48,Tue,11862,91846,1050,8195,"Centro Hospitalar de Lisboa Ocidental, EPE",7.80476190476191,Hospital
2015-12-01,"Hospital de Cascais, PPP",Especialidade Cirurgica,6749,35220,5.2185508964291,2,2015,Dec,48,Tue,6285,32355,464,2865,"Hospital de Cascais, PPP",6.17456896551724,Hospital
